tourist_id,spending_inr,duration_days,transport_mode,accommodation_type,group_type,segment
T00000,5511,2,train,budget,couple,weekend
T00001,5797,2,train,budget,family,budget
T00002,61013,10,flight,luxury,couple,luxury
T00003,8295,3,car,budget,family,weekend
T00004,17930,4,bus,eco,family,eco
T00005,5973,1,train,budget,family,budget
T00006,14660,4,bus,eco,couple,eco
T00007,5660,1,bus,budget,solo,budget
T00008,5165,1,bus,budget,family,budget
T00009,14938,5,train,eco,family,eco
T00010,13248,3,car,mid,couple,weekend
T00011,79163,7,car,luxury,group,luxury
T00012,16615,7,bus,eco,family,eco
T00013,14203,7,train,eco,family,eco
T00014,71185,7,flight,luxury,family,luxury
T00015,13097,2,car,budget,solo,weekend
T00016,5890,3,car,budget,group,weekend
T00017,7312,1,bus,budget,family,budget
T00018,7726,2,train,budget,family,budget
T00019,7207,3,train,budget,family,budget
T00020,7186,2,car,mid,couple,weekend
T00021,12888,7,train,eco,family,eco
T00022,43595,7,flight,luxury,family,luxury
T00023,4563,1,train,budget,couple,budget
T00024,14654,4,train,eco,couple,eco
T00025,5526,3,train,mid,group,weekend
T00026,2562,2,train,budget,family,budget
T00027,78176,7,flight,luxury,solo,luxury
T00028,31453,5,car,luxury,couple,luxury
T00029,10511,5,bus,eco,couple,eco
T00030,17834,5,bicycle,eco,family,eco
T00031,5454,3,train,budget,couple,budget
T00032,4513,3,bus,budget,solo,budget
T00033,9743,3,car,mid,family,weekend
T00034,32602,5,flight,luxury,couple,luxury
T00035,9061,3,car,mid,family,weekend
T00036,8261,4,train,eco,couple,eco
T00037,9525,2,car,budget,solo,weekend
T00038,16291,4,bicycle,eco,couple,eco
T00039,12368,4,train,eco,family,eco
T00040,6688,2,bus,budget,family,budget
T00041,12128,2,car,budget,family,weekend
T00042,13452,3,train,mid,solo,weekend
T00043,6614,3,car,mid,family,weekend
T00044,5035,3,train,budget,solo,budget
T00045,4250,3,bus,budget,family,budget
T00046,71900,14,flight,luxury,family,luxury
T00047,3645,2,train,budget,couple,budget
T00048,40555,7,flight,luxury,solo,luxury
T00049,14289,3,car,budget,couple,weekend
T00050,40944,5,flight,luxury,family,luxury
T00051,39423,7,flight,luxury,solo,luxury
T00052,19300,7,train,eco,family,eco
T00053,3030,2,train,budget,group,budget
T00054,4813,1,train,budget,couple,budget
T00055,75829,10,flight,luxury,family,luxury
T00056,11236,2,train,budget,couple,weekend
T00057,74675,7,flight,luxury,couple,luxury
T00058,6206,2,train,budget,couple,budget
T00059,10981,3,train,budget,family,weekend
T00060,30141,14,flight,luxury,group,luxury
T00061,42264,5,flight,luxury,couple,luxury
T00062,7478,3,car,budget,couple,weekend
T00063,8848,3,car,mid,couple,weekend
T00064,14856,2,car,budget,group,weekend
T00065,65912,7,car,luxury,couple,luxury
T00066,12570,2,train,mid,couple,weekend
T00067,5935,2,train,budget,group,budget
T00068,7060,2,car,budget,family,weekend
T00069,9362,7,train,eco,family,eco
T00070,12627,7,train,eco,family,eco
T00071,3738,1,bus,budget,family,budget
T00072,5500,1,bus,budget,couple,budget
T00073,17754,7,bus,eco,group,eco
T00074,18056,4,train,eco,family,eco
T00075,4151,1,bus,budget,couple,budget
T00076,5677,1,bus,budget,group,budget
T00077,15560,5,train,eco,family,eco
T00078,64088,5,car,luxury,solo,luxury
T00079,14216,7,bus,eco,family,eco
T00080,13522,3,car,budget,family,weekend
T00081,6992,3,bus,budget,couple,budget
T00082,12699,2,train,budget,solo,weekend
T00083,2381,2,bus,budget,family,budget
T00084,30094,7,flight,luxury,solo,luxury
T00085,56127,10,car,luxury,family,luxury
T00086,14980,7,bicycle,eco,solo,eco
T00087,57022,10,flight,luxury,family,luxury
T00088,11731,3,car,mid,family,weekend
T00089,12015,2,train,budget,family,weekend
T00090,16643,4,bus,eco,group,eco
T00091,72551,14,car,luxury,family,luxury
T00092,45371,14,car,luxury,group,luxury
T00093,6762,2,car,budget,couple,weekend
T00094,6242,2,car,budget,couple,weekend
T00095,7455,2,train,budget,family,budget
T00096,7070,2,bus,budget,family,budget
T00097,9328,3,car,budget,solo,weekend
T00098,4525,2,train,budget,solo,budget
T00099,17729,7,bus,eco,family,eco
T00100,3575,3,train,budget,couple,budget
T00101,2538,1,bus,budget,family,budget
T00102,14076,7,bicycle,eco,family,eco
T00103,19147,7,train,eco,couple,eco
T00104,7227,3,bus,budget,couple,budget
T00105,5953,2,train,mid,family,weekend
T00106,13550,2,car,budget,family,weekend
T00107,63839,5,flight,luxury,couple,luxury
T00108,9999,5,bus,eco,couple,eco
T00109,9046,4,train,eco,group,eco
T00110,11552,3,car,budget,couple,weekend
T00111,13775,7,train,eco,solo,eco
T00112,11363,3,car,budget,family,weekend
T00113,75094,14,flight,luxury,group,luxury
T00114,11605,3,train,mid,family,weekend
T00115,6420,3,train,budget,group,budget
T00116,4311,1,bus,budget,family,budget
T00117,2568,2,bus,budget,solo,budget
T00118,49442,7,flight,luxury,couple,luxury
T00119,74363,10,car,luxury,family,luxury
T00120,13871,3,car,mid,solo,weekend
T00121,35574,14,car,luxury,family,luxury
T00122,4806,2,bus,budget,family,budget
T00123,10401,2,train,budget,family,weekend
T00124,9506,3,car,mid,group,weekend
T00125,6952,3,train,budget,family,budget
T00126,18053,5,bus,eco,group,eco
T00127,43385,10,flight,luxury,family,luxury
T00128,45225,5,flight,luxury,group,luxury
T00129,40051,10,flight,luxury,couple,luxury
T00130,8676,2,train,budget,solo,weekend
T00131,12257,3,train,budget,group,weekend
T00132,8176,4,bicycle,eco,group,eco
T00133,47425,5,flight,luxury,family,luxury
T00134,4878,1,bus,budget,family,budget
T00135,6856,3,train,budget,solo,budget
T00136,14241,2,car,budget,couple,weekend
T00137,13564,5,train,eco,group,eco
T00138,3340,1,train,budget,couple,budget
T00139,12762,7,train,eco,couple,eco
T00140,5430,3,train,budget,group,budget
T00141,12344,5,bicycle,eco,family,eco
T00142,3550,2,train,budget,solo,budget
T00143,18175,7,train,eco,family,eco
T00144,4232,1,train,budget,family,budget
T00145,10852,2,car,mid,solo,weekend
T00146,45850,7,car,luxury,family,luxury
T00147,5393,2,car,budget,family,weekend
T00148,39919,7,flight,luxury,solo,luxury
T00149,3687,1,train,budget,solo,budget
T00150,13321,3,car,mid,solo,weekend
T00151,11841,5,train,eco,family,eco
T00152,6558,2,car,budget,family,weekend
T00153,13445,2,car,mid,solo,weekend
T00154,6380,3,car,mid,family,weekend
T00155,7829,3,train,budget,family,budget
T00156,62579,10,flight,luxury,couple,luxury
T00157,5036,3,car,budget,solo,weekend
T00158,2054,3,train,budget,family,budget
T00159,8697,7,bus,eco,couple,eco
T00160,4949,3,bus,budget,couple,budget
T00161,49604,10,flight,luxury,couple,luxury
T00162,12822,5,train,eco,family,eco
T00163,57674,14,flight,luxury,group,luxury
T00164,47301,7,flight,luxury,couple,luxury
T00165,64428,7,flight,luxury,family,luxury
T00166,13097,3,car,budget,group,weekend
T00167,53693,14,car,luxury,group,luxury
T00168,70871,10,flight,luxury,couple,luxury
T00169,11771,3,train,mid,family,weekend
T00170,76606,7,car,luxury,couple,luxury
T00171,12606,3,train,budget,family,weekend
T00172,18599,7,train,eco,solo,eco
T00173,8052,7,bus,eco,group,eco
T00174,9939,3,car,budget,family,weekend
T00175,8548,5,bus,eco,family,eco
T00176,65071,5,flight,luxury,couple,luxury
T00177,71189,7,flight,luxury,family,luxury
T00178,10117,4,train,eco,family,eco
T00179,5673,2,car,mid,family,weekend
T00180,8213,2,train,budget,group,weekend
T00181,4076,3,train,budget,couple,budget
T00182,6292,2,car,mid,group,weekend
T00183,9804,2,car,mid,family,weekend
T00184,6945,1,train,budget,family,budget
T00185,10289,2,car,budget,family,weekend
T00186,37706,10,flight,luxury,couple,luxury
T00187,19013,5,train,eco,group,eco
T00188,8278,2,train,mid,couple,weekend
T00189,6853,1,train,budget,solo,budget
T00190,67478,5,car,luxury,family,luxury
T00191,7966,2,car,budget,solo,weekend
T00192,19472,4,train,eco,couple,eco
T00193,74154,7,flight,luxury,family,luxury
T00194,11900,4,bicycle,eco,couple,eco
T00195,2318,2,bus,budget,family,budget
T00196,16939,5,bus,eco,family,eco
T00197,6562,2,train,mid,family,weekend
T00198,52142,5,car,luxury,family,luxury
T00199,7631,3,bus,budget,family,budget
T00200,2770,1,bus,budget,family,budget
T00201,7240,3,train,budget,solo,budget
T00202,8486,3,car,mid,family,weekend
T00203,59357,10,flight,luxury,couple,luxury
T00204,5952,3,car,budget,group,weekend
T00205,2190,1,bus,budget,couple,budget
T00206,10754,2,car,mid,family,weekend
T00207,13702,3,car,mid,solo,weekend
T00208,13434,2,car,budget,family,weekend
T00209,9707,4,bus,eco,group,eco
T00210,13723,3,car,budget,family,weekend
T00211,9321,2,train,budget,couple,weekend
T00212,9662,2,car,budget,solo,weekend
T00213,6945,2,car,mid,family,weekend
T00214,13249,5,bicycle,eco,couple,eco
T00215,55197,10,flight,luxury,couple,luxury
T00216,47340,7,flight,luxury,family,luxury
T00217,12350,2,car,budget,couple,weekend
T00218,36469,5,flight,luxury,couple,luxury
T00219,9070,3,car,mid,group,weekend
T00220,48639,7,car,luxury,family,luxury
T00221,10426,7,bicycle,eco,family,eco
T00222,5231,2,train,budget,solo,budget
T00223,66582,5,flight,luxury,family,luxury
T00224,53731,14,car,luxury,couple,luxury
T00225,59284,10,flight,luxury,group,luxury
T00226,3262,1,train,budget,family,budget
T00227,4112,2,train,budget,family,budget
T00228,43997,10,flight,luxury,solo,luxury
T00229,6301,3,train,mid,family,weekend
T00230,6076,2,train,budget,solo,budget
T00231,9604,4,train,eco,solo,eco
T00232,6559,3,bus,budget,family,budget
T00233,7500,2,car,mid,couple,weekend
T00234,43315,10,flight,luxury,couple,luxury
T00235,13728,2,car,budget,family,weekend
T00236,14607,2,train,mid,family,weekend
T00237,7746,3,bus,budget,couple,budget
T00238,18519,4,train,eco,solo,eco
T00239,48157,7,flight,luxury,solo,luxury
T00240,62681,5,flight,luxury,group,luxury
T00241,10497,3,car,mid,group,weekend
T00242,3934,1,bus,budget,family,budget
T00243,16837,7,bus,eco,group,eco
T00244,76116,7,flight,luxury,family,luxury
T00245,7541,2,train,mid,family,weekend
T00246,14820,3,train,budget,family,weekend
T00247,10336,7,train,eco,couple,eco
T00248,14324,7,bus,eco,group,eco
T00249,12919,7,bus,eco,group,eco
T00250,10594,2,car,budget,family,weekend
T00251,6049,2,bus,budget,couple,budget
T00252,7738,1,train,budget,couple,budget
T00253,10731,4,train,eco,family,eco
T00254,59303,5,car,luxury,group,luxury
T00255,16462,4,bicycle,eco,family,eco
T00256,19591,7,train,eco,family,eco
T00257,8922,2,car,mid,solo,weekend
T00258,11725,4,bus,eco,family,eco
T00259,13368,2,car,budget,family,weekend
T00260,14068,3,car,budget,family,weekend
T00261,11979,2,car,mid,family,weekend
T00262,8215,5,train,eco,group,eco
T00263,18746,7,bus,eco,family,eco
T00264,14807,5,train,eco,couple,eco
T00265,8614,2,car,mid,group,weekend
T00266,77355,10,flight,luxury,couple,luxury
T00267,6871,2,train,budget,couple,budget
T00268,64650,5,flight,luxury,group,luxury
T00269,3006,3,train,budget,solo,budget
T00270,12742,7,bus,eco,group,eco
T00271,5973,1,bus,budget,family,budget
T00272,15343,7,bicycle,eco,solo,eco
T00273,3963,1,train,budget,family,budget
T00274,3500,2,bus,budget,couple,budget
T00275,3720,3,train,budget,family,budget
T00276,14881,3,train,budget,couple,weekend
T00277,14712,3,car,budget,family,weekend
T00278,19460,7,train,eco,family,eco
T00279,6050,2,train,budget,group,budget
T00280,45605,7,car,luxury,family,luxury
T00281,70850,10,flight,luxury,couple,luxury
T00282,7272,1,train,budget,family,budget
T00283,17937,7,train,eco,family,eco
T00284,7585,3,car,mid,solo,weekend
T00285,59243,5,flight,luxury,family,luxury
T00286,3441,3,train,budget,couple,budget
T00287,71877,14,flight,luxury,family,luxury
T00288,4416,2,train,budget,couple,budget
T00289,5884,2,train,budget,couple,budget
T00290,16525,7,bus,eco,family,eco
T00291,5371,3,train,mid,solo,weekend
T00292,6516,2,train,budget,family,budget
T00293,11359,2,car,mid,solo,weekend
T00294,14141,4,bus,eco,couple,eco
T00295,79781,5,flight,luxury,couple,luxury
T00296,33685,10,flight,luxury,solo,luxury
T00297,17897,7,bicycle,eco,couple,eco
T00298,14901,3,train,mid,couple,weekend
T00299,11967,7,train,eco,solo,eco
T00300,4157,1,train,budget,group,budget
T00301,8811,7,train,eco,family,eco
T00302,5675,2,bus,budget,couple,budget
T00303,6211,3,bus,budget,family,budget
T00304,13697,3,car,budget,family,weekend
T00305,6181,1,bus,budget,family,budget
T00306,36220,7,flight,luxury,group,luxury
T00307,66711,7,flight,luxury,family,luxury
T00308,14112,3,car,budget,family,weekend
T00309,19964,5,bus,eco,family,eco
T00310,8325,5,bus,eco,group,eco
T00311,5499,2,car,budget,couple,weekend
T00312,3805,1,bus,budget,couple,budget
T00313,3304,2,bus,budget,group,budget
T00314,55311,5,car,luxury,couple,luxury
T00315,79389,7,flight,luxury,family,luxury
T00316,19846,4,bicycle,eco,group,eco
T00317,77896,14,flight,luxury,solo,luxury
T00318,39633,14,flight,luxury,solo,luxury
T00319,12753,4,bus,eco,group,eco
T00320,3260,3,train,budget,family,budget
T00321,5219,3,bus,budget,group,budget
T00322,10836,7,train,eco,family,eco
T00323,3734,1,train,budget,family,budget
T00324,44659,7,car,luxury,couple,luxury
T00325,4873,2,bus,budget,couple,budget
T00326,19950,5,bicycle,eco,family,eco
T00327,4996,2,bus,budget,solo,budget
T00328,4299,3,train,budget,family,budget
T00329,6684,2,train,mid,solo,weekend
T00330,14768,3,train,mid,group,weekend
T00331,49279,14,car,luxury,couple,luxury
T00332,10020,5,train,eco,family,eco
T00333,17465,5,bicycle,eco,family,eco
T00334,6453,3,car,mid,group,weekend
T00335,14552,2,train,mid,family,weekend
T00336,11063,2,train,mid,solo,weekend
T00337,63754,14,flight,luxury,solo,luxury
T00338,63006,10,flight,luxury,couple,luxury
T00339,8737,7,train,eco,group,eco
T00340,18754,4,train,eco,couple,eco
T00341,14248,3,car,mid,couple,weekend
T00342,2345,3,bus,budget,family,budget
T00343,11014,3,car,mid,family,weekend
T00344,3767,2,train,budget,group,budget
T00345,65739,14,flight,luxury,couple,luxury
T00346,16210,7,bus,eco,solo,eco
T00347,78618,14,car,luxury,family,luxury
T00348,38556,7,flight,luxury,family,luxury
T00349,11179,4,train,eco,group,eco
T00350,16722,5,train,eco,couple,eco
T00351,14269,3,car,budget,couple,weekend
T00352,2385,3,train,budget,couple,budget
T00353,10032,7,bicycle,eco,family,eco
T00354,8306,4,train,eco,family,eco
T00355,12997,7,train,eco,couple,eco
T00356,12152,2,train,mid,family,weekend
T00357,8993,2,train,mid,couple,weekend
T00358,70146,7,flight,luxury,couple,luxury
T00359,58447,10,car,luxury,family,luxury
T00360,18751,4,train,eco,couple,eco
T00361,5776,2,bus,budget,solo,budget
T00362,55866,14,car,luxury,group,luxury
T00363,5690,3,bus,budget,couple,budget
T00364,6941,1,train,budget,couple,budget
T00365,59403,5,flight,luxury,group,luxury
T00366,41151,14,flight,luxury,couple,luxury
T00367,12644,5,train,eco,family,eco
T00368,5296,2,car,mid,couple,weekend
T00369,12894,5,train,eco,couple,eco
T00370,33051,14,flight,luxury,couple,luxury
T00371,13591,3,car,budget,family,weekend
T00372,12386,3,car,mid,group,weekend
T00373,30210,10,car,luxury,family,luxury
T00374,11215,4,train,eco,group,eco
T00375,19545,7,train,eco,couple,eco
T00376,2628,3,train,budget,solo,budget
T00377,3394,2,bus,budget,family,budget
T00378,2634,3,bus,budget,group,budget
T00379,14897,3,train,budget,group,weekend
T00380,13295,2,car,budget,family,weekend
T00381,2017,1,train,budget,family,budget
T00382,17036,4,train,eco,couple,eco
T00383,9568,7,bus,eco,solo,eco
T00384,6843,2,train,budget,couple,budget
T00385,77536,7,car,luxury,couple,luxury
T00386,13994,5,train,eco,family,eco
T00387,10208,3,car,budget,family,weekend
T00388,6164,1,train,budget,family,budget
T00389,3152,3,train,budget,family,budget
T00390,9061,3,car,mid,family,weekend
T00391,48021,14,car,luxury,family,luxury
T00392,13654,7,train,eco,family,eco
T00393,10029,7,bus,eco,family,eco
T00394,14792,2,car,budget,group,weekend
T00395,71736,14,flight,luxury,solo,luxury
T00396,5681,2,bus,budget,family,budget
T00397,10294,2,car,budget,couple,weekend
T00398,18144,7,train,eco,solo,eco
T00399,3508,2,train,budget,group,budget
T00400,3778,1,train,budget,couple,budget
T00401,10163,5,bicycle,eco,solo,eco
T00402,4173,1,train,budget,couple,budget
T00403,11487,2,train,budget,couple,weekend
T00404,59329,5,flight,luxury,family,luxury
T00405,4207,3,train,budget,family,budget
T00406,6373,1,train,budget,family,budget
T00407,7507,3,train,budget,solo,budget
T00408,19536,5,train,eco,couple,eco
T00409,38566,14,flight,luxury,family,luxury
T00410,8291,4,train,eco,family,eco
T00411,52240,7,flight,luxury,family,luxury
T00412,14841,2,car,budget,couple,weekend
T00413,6024,2,bus,budget,group,budget
T00414,72638,14,flight,luxury,group,luxury
T00415,7333,2,train,budget,solo,weekend
T00416,8555,2,train,mid,couple,weekend
T00417,66312,14,flight,luxury,couple,luxury
T00418,10485,3,train,budget,solo,weekend
T00419,46015,7,car,luxury,couple,luxury
T00420,67558,14,flight,luxury,family,luxury
T00421,5052,2,bus,budget,family,budget
T00422,5478,2,train,budget,couple,budget
T00423,41380,14,flight,luxury,solo,luxury
T00424,56258,7,flight,luxury,family,luxury
T00425,5694,3,train,budget,group,budget
T00426,10564,2,car,mid,solo,weekend
T00427,10196,2,car,budget,group,weekend
T00428,8962,3,car,mid,couple,weekend
T00429,10704,2,car,mid,family,weekend
T00430,32482,5,car,luxury,family,luxury
T00431,16584,7,train,eco,family,eco
T00432,6993,3,train,budget,group,budget
T00433,7759,1,train,budget,family,budget
T00434,10852,2,car,budget,family,weekend
T00435,4593,3,train,budget,family,budget
T00436,11029,5,bicycle,eco,solo,eco
T00437,49287,10,flight,luxury,couple,luxury
T00438,10585,5,train,eco,couple,eco
T00439,49539,10,car,luxury,family,luxury
T00440,6074,2,car,budget,family,weekend
T00441,11446,3,car,mid,family,weekend
T00442,14793,7,train,eco,family,eco
T00443,14511,2,train,budget,solo,weekend
T00444,15699,5,train,eco,couple,eco
T00445,13079,5,bus,eco,family,eco
T00446,64448,7,car,luxury,couple,luxury
T00447,7414,2,train,mid,couple,weekend
T00448,53212,7,car,luxury,family,luxury
T00449,6517,2,bus,budget,solo,budget
T00450,6599,2,car,mid,group,weekend
T00451,16679,4,bus,eco,solo,eco
T00452,3954,3,bus,budget,group,budget
T00453,16835,5,train,eco,family,eco
