date,location,tourist_count,latitude,longitude,type,capacity,density
2025-02-24,Goa Beach,7564,15.2993,73.9512,coastal,50000,15.1
2025-02-24,Taj Mahal,5032,27.1751,78.0421,heritage,40000,12.6
2025-02-24,Jaipur Fort,5708,26.9855,75.8513,heritage,35000,16.3
2025-02-24,Kerala Backwaters,2793,9.4981,76.3388,eco,25000,11.2
2025-02-24,Hampi Ruins,4659,15.335,76.46,heritage,20000,23.3
2025-02-24,Udaipur Lakes,4970,24.5854,73.7125,heritage,30000,16.6
2025-02-24,Rishikesh,4648,30.0869,78.2676,spiritual,28000,16.6
2025-02-24,Munnar Hills,2645,10.0889,77.0595,eco,22000,12.0
2025-02-25,Goa Beach,7773,15.2993,73.9512,coastal,50000,15.5
2025-02-25,Taj Mahal,5524,27.1751,78.0421,heritage,40000,13.8
2025-02-25,Jaipur Fort,4764,26.9855,75.8513,heritage,35000,13.6
2025-02-25,Kerala Backwaters,3032,9.4981,76.3388,eco,25000,12.1
2025-02-25,Hampi Ruins,5268,15.335,76.46,heritage,20000,26.3
2025-02-25,Udaipur Lakes,5628,24.5854,73.7125,heritage,30000,18.8
2025-02-25,Rishikesh,4921,30.0869,78.2676,spiritual,28000,17.6
2025-02-25,Munnar Hills,2601,10.0889,77.0595,eco,22000,11.8
2025-02-26,Goa Beach,7672,15.2993,73.9512,coastal,50000,15.3
2025-02-26,Taj Mahal,5384,27.1751,78.0421,heritage,40000,13.5
2025-02-26,Jaipur Fort,5115,26.9855,75.8513,heritage,35000,14.6
2025-02-26,Kerala Backwaters,3140,9.4981,76.3388,eco,25000,12.6
2025-02-26,Hampi Ruins,4850,15.335,76.46,heritage,20000,24.2
2025-02-26,Udaipur Lakes,5059,24.5854,73.7125,heritage,30000,16.9
2025-02-26,Rishikesh,4352,30.0869,78.2676,spiritual,28000,15.5
2025-02-26,Munnar Hills,2768,10.0889,77.0595,eco,22000,12.6
2025-02-27,Goa Beach,8028,15.2993,73.9512,coastal,50000,16.1
2025-02-27,Taj Mahal,5942,27.1751,78.0421,heritage,40000,14.9
2025-02-27,Jaipur Fort,5105,26.9855,75.8513,heritage,35000,14.6
2025-02-27,Kerala Backwaters,3144,9.4981,76.3388,eco,25000,12.6
2025-02-27,Hampi Ruins,5311,15.335,76.46,heritage,20000,26.6
2025-02-27,Udaipur Lakes,5783,24.5854,73.7125,heritage,30000,19.3
2025-02-27,Rishikesh,4812,30.0869,78.2676,spiritual,28000,17.2
2025-02-27,Munnar Hills,3439,10.0889,77.0595,eco,22000,15.6
2025-02-28,Goa Beach,7576,15.2993,73.9512,coastal,50000,15.2
2025-02-28,Taj Mahal,5672,27.1751,78.0421,heritage,40000,14.2
2025-02-28,Jaipur Fort,5749,26.9855,75.8513,heritage,35000,16.4
2025-02-28,Kerala Backwaters,2621,9.4981,76.3388,eco,25000,10.5
2025-02-28,Hampi Ruins,4882,15.335,76.46,heritage,20000,24.4
2025-02-28,Udaipur Lakes,5199,24.5854,73.7125,heritage,30000,17.3
2025-02-28,Rishikesh,4590,30.0869,78.2676,spiritual,28000,16.4
2025-02-28,Munnar Hills,2953,10.0889,77.0595,eco,22000,13.4
2025-03-01,Goa Beach,9495,15.2993,73.9512,coastal,50000,19.0
2025-03-01,Taj Mahal,5895,27.1751,78.0421,heritage,40000,14.7
2025-03-01,Jaipur Fort,6240,26.9855,75.8513,heritage,35000,17.8
2025-03-01,Kerala Backwaters,3170,9.4981,76.3388,eco,25000,12.7
2025-03-01,Hampi Ruins,6863,15.335,76.46,heritage,20000,34.3
2025-03-01,Udaipur Lakes,6818,24.5854,73.7125,heritage,30000,22.7
2025-03-01,Rishikesh,6137,30.0869,78.2676,spiritual,28000,21.9
2025-03-01,Munnar Hills,3288,10.0889,77.0595,eco,22000,14.9
2025-03-02,Goa Beach,10274,15.2993,73.9512,coastal,50000,20.5
2025-03-02,Taj Mahal,5565,27.1751,78.0421,heritage,40000,13.9
2025-03-02,Jaipur Fort,5443,26.9855,75.8513,heritage,35000,15.6
2025-03-02,Kerala Backwaters,3474,9.4981,76.3388,eco,25000,13.9
2025-03-02,Hampi Ruins,7172,15.335,76.46,heritage,20000,35.9
2025-03-02,Udaipur Lakes,7320,24.5854,73.7125,heritage,30000,24.4
2025-03-02,Rishikesh,5821,30.0869,78.2676,spiritual,28000,20.8
2025-03-02,Munnar Hills,3703,10.0889,77.0595,eco,22000,16.8
2025-03-03,Goa Beach,5947,15.2993,73.9512,coastal,50000,11.9
2025-03-03,Taj Mahal,4680,27.1751,78.0421,heritage,40000,11.7
2025-03-03,Jaipur Fort,4156,26.9855,75.8513,heritage,35000,11.9
2025-03-03,Kerala Backwaters,2889,9.4981,76.3388,eco,25000,11.6
2025-03-03,Hampi Ruins,4686,15.335,76.46,heritage,20000,23.4
2025-03-03,Udaipur Lakes,4704,24.5854,73.7125,heritage,30000,15.7
2025-03-03,Rishikesh,3891,30.0869,78.2676,spiritual,28000,13.9
2025-03-03,Munnar Hills,2571,10.0889,77.0595,eco,22000,11.7
2025-03-04,Goa Beach,7222,15.2993,73.9512,coastal,50000,14.4
2025-03-04,Taj Mahal,4700,27.1751,78.0421,heritage,40000,11.8
